Year, Forecast, Actual
1985, None, 10000
1986, 10000, 10750
1987, 10600, 11900
1988, 11640, 13300
1989, 12968, 14250
1990, 13994, 15350
1991, 15079, 16400
1992, 16136, 17500
1993, 17227, 18550
1994, 18285, 19750
1995, 19457, 21000
1996, 20691, 22700
1997, 22298, 23840
1998, 23532, 25000
1999, 24706, 26260
2000, 25949, 27250
2001, 26990, 28500
2002, 28198, 30050
2003, 29680, 31800
2004, 31376, 33650
2005, 33195, 35600
2006, 35119, 37500
2007, 37024, 39600
2008, 39085, 41900
2009, 41337, 43800
2010, 43307, 46150
2011, 45581, 48600
2012, 47996, 51200
2013, 50559, 53500
2014, 52912, 56175
2015, 55522, 58875
2016, 58204, 61225
2017, 60621, 63675
2018, 63064, ?
