group_ID,prob,headcount,members
ZDKP0,0.04238,18,"398,563,956,934,184,853,690,120,919,254,586,219,377,298,73,852,491,108"
LD0DM,0.06938,9,"888,644,985,482,369,270,390,860,376"
3GIQV,0.00668,10,"642,23,967,841,874,930,109,63,360,842"
FC6NL,0.10265,5,"221,367,914,299,303"
ZH3K0,0.00991,19,"742,277,760,659,346,135,562,114,809,908,514,464,403,732,827,215,826,119,543"
6E9XG,0.00275,25,"859,621,568,363,630,596,165,772,583,105,594,795,401,925,14,528,201,645,649,980,407,553,810,226,11"
4AH8Y,0.00619,33,"241,539,961,926,73,206,883,749,414,348,709,218,557,450,615,920,94,53,27,108,764,279,524,170,922,564,8,827,653,588,500,189,446"
6CK73,0.02692,3,"590,55,93"
13KV1,0.24151,3,"455,34,202"
A8MDS,0.00941,3,"715,684,643"
X5ISR,0.06598,8,"17,505,565,490,871,96,822,776"
5JCG5,0.05159,5,"911,380,892,16,114"
DNSEB,0.09448,4,"186,545,120,849"
X2UL9,0.00941,6,"619,245,364,35,656,775"
J5GOS,0.12191,3,"24,910,727"
N1K2K,0.16453,3,"355,251,114"
Q8J46,0.04782,5,"719,67,710,83,81"
3Q7BS,0.14052,4,"291,481,973,527"
SMBIG,0.01754,19,"92,726,76,37,711,749,154,222,656,159,393,708,496,452,630,973,794,161,208"
XVEHA,0.05183,7,"921,104,689,198,245,456,327"
5QL1Z,0.02628,5,"341,94,18,125,302"
J5XXI,0.04994,11,"76,985,327,67,61,843,522,328,265,311,191"
YXWHY,0.19563,3,"570,239,655"
6JC5Q,0.02801,19,"999,180,877,386,763,741,364,496,199,595,493,810,719,709,404,758,951,545,21"
LD44U,0.01227,15,"523,219,388,701,585,835,236,778,871,694,941,571,411,557,46"
O3YJ6,0.03528,4,"515,262,393,471"
L3Y8G,0.04658,8,"748,655,211,852,705,977,967,888"
SU5R6,0.00739,4,"776,538,464,437"
S8PRX,0.07421,7,"130,39,227,762,987,87,972"
BJIRC,0.04393,9,"250,866,56,918,922,951,774,895,469"
60FOM,0.16834,3,"601,609,645"
US6BE,0.07116,5,"821,274,619,766,58"
4A223,0.08028,5,"947,711,578,728,199"
I8FZT,0.05866,4,"51,333,535,558"
NR2Y7,0.02896,11,"964,961,249,972,76,943,548,556,880,706,711"
RHMBU,0.15588,3,"70,719,214"
N2X3R,0.13293,5,"143,822,910,665,316"
LWQCT,0.02185,9,"481,261,357,243,231,443,571,215,114"
HD83R,0.04297,4,"231,471,709,233"
YR4K1,0.03571,21,"317,884,442,265,786,792,26,231,275,867,128,667,798,3,608,614,328,90,357,924,612"
F8ES9,0.03732,6,"80,888,265,839,267,500"
H3CJ7,0.02977,12,"314,512,899,316,258,205,73,347,482,736,570,907"
NFMTX,0.21224,3,"767,836,130"
IDAQK,0.20356,3,"538,944,942"
FHU1N,0.04786,7,"672,770,986,863,322,799,415"
B970G,0.01047,9,"784,592,746,467,49,445,776,276,453"
9Y8XD,0.1995,4,"259,590,496,348"
10Z8Z,0.14456,3,"634,779,9"
3HX46,0.06868,6,"101,380,696,883,968,500"
P1FGA,0.15612,5,"658,312,763,463,972"
D2V65,0.07425,5,"74,650,383,852,785"
JX0VR,0.0693,3,"11,733,258"
LISIK,0.08784,8,"789,310,40,127,5,105,448,662"
KEBSB,0.0625,5,"377,312,842,996,242"
XJXP8,0.12711,3,"610,307,22"
4WMNQ,0.21229,3,"190,418,696"
BFD5B,0.16617,4,"580,261,429,600"
FXE3Y,0.10295,7,"66,821,957,688,425,440,251"
8ZKFD,0.11169,7,"728,921,796,660,446,901,914"
NQN6U,0.02466,4,"169,338,213,970"
3CF5F,0.17548,4,"859,931,658,36"
6PCBG,0.08679,5,"113,371,960,983,805"
ZJBSL,0.13028,4,"61,424,587,921"
SSPJ0,0.12507,3,"541,972,277"
SQ8BT,0.01992,7,"296,80,634,709,505,764,455"
HBUZV,0.03963,9,"437,135,422,305,604,302,650,249,208"
K20I5,0.12437,3,"613,736,750"
IJYBH,0.05982,7,"750,326,692,858,476,26,63"
KWEI7,0.05628,5,"977,681,987,852,902"
J25RB,0.07143,10,"647,884,133,868,183,677,673,98,528,393"
AV0HR,0.01738,3,"591,304,888"
GK8O9,0.02717,3,"143,122,331"
R8V4C,0.07887,3,"845,977,120"
SDCZZ,0.07663,5,"40,317,223,135,272"
1EYSK,0.03924,4,"576,564,427,281"
F9ZNX,0.06054,6,"344,53,160,227,874,391"
ZAN0W,0.08166,3,"90,291,362"
1I7H0,0.1913,3,"787,438,327"
C6YZ4,0.02856,5,"341,375,402,922,359"
8O6W6,0.02497,3,"685,431,550"
H60Y6,0.0271,3,"401,609,558"
JK0XP,0.09353,7,"88,522,327,848,818,913,880"
XP2GP,0.00567,5,"437,398,198,183,298"
MXP79,0.08681,9,"673,98,84,620,649,324,86,71,239"
IM3AV,0.13584,4,"61,153,233,692"
XTVTG,0.21521,3,"557,805,67"
0OJ8S,0.26512,3,"531,823,60"
VC6DT,0.14036,3,"842,598,128"
LVVJL,0.11682,4,"329,152,212,816"
CQWVB,0.04984,5,"59,697,283,51,583"
3VPRU,0.16343,3,"359,447,428"
N2M2J,0.13779,3,"647,925,599"
N71A9,0.05785,11,"910,259,409,191,814,196,751,899,115,657,970"
RTLZ4,0.12152,6,"934,948,689,556,97,823"
3PDHC,0.04612,4,"879,269,824,641"
K09PV,0.07637,3,"724,410,513"
YW12J,0.12142,6,"25,643,164,415,26,626"
