group_ID,prob,headcount,members
BVVOU,0.01121,33,"523,896,163,56,358,144,882,149,319,860,473,868,365,721,725,667,407,669,532,456,760,228,495,32,477,114,580,821,862,416,10,70,504"
TYPMF,0.06429,10,"480,80,687,111,717,328,963,887,181,698"
4ZNUR,0.01274,37,"554,458,966,43,638,723,449,745,166,204,661,377,641,854,291,254,665,337,880,697,719,465,535,176,44,277,660,999,801,618,59,940,151,348,921,195,541"
W1MNT,0.00938,38,"597,587,486,307,8,487,375,857,300,239,497,818,357,424,65,379,474,278,832,959,622,925,672,858,443,726,510,146,6,419,828,765,39,605,796,848,946,788"
K00ZU,0.01079,34,"337,880,697,719,465,535,176,44,277,660,999,801,618,59,940,151,348,921,195,541,737,276,320,409,242,247,715,41,885,201,296,795,89,837"
GWWBB,0.00543,57,"109,455,302,612,614,809,112,81,748,623,55,500,279,930,26,101,249,94,327,197,423,96,453,548,270,132,518,816,238,776,846,797,879,515,433,713,373,287,811,466,537,11,895,123,79,507,841,494,20,225,551,843,642,27,172,256,2"
DIE16,0.03641,19,"878,179,974,808,606,980,820,362,812,619,203,961,110,762,451,219,971,505,37"
WB6T1,0.00904,58,"339,936,398,996,483,150,645,21,520,72,823,284,336,426,470,910,452,262,668,750,309,648,5,248,738,989,640,803,543,346,891,644,540,260,856,237,833,140,907,695,173,733,447,76,54,969,554,458,966,43,638,723,449,745,166,204,661,377"
VNWKK,0.0031,60,"641,854,291,254,665,337,880,697,719,465,535,176,44,277,660,999,801,618,59,940,151,348,921,195,541,737,276,320,409,242,247,715,41,885,201,296,795,89,837,906,349,147,775,524,789,512,682,397,866,171,211,666,584,735,754,243,408,701,632,592"
1CBW5,0.00611,71,"288,773,918,231,787,578,662,931,194,835,758,683,790,165,556,294,378,517,481,371,344,561,838,590,806,663,142,264,700,646,944,295,128,830,747,761,603,740,525,313,570,607,900,873,265,58,499,657,705,852,325,516,193,380,235,763,794,613,994,400,822,707,120,318,187,411,272,40,395,766,539"
W0EB6,0.00031,77,"319,860,473,868,365,721,725,667,407,669,532,456,760,228,495,32,477,114,580,821,862,416,10,70,504,107,710,73,817,681,246,526,958,914,865,982,230,975,511,223,305,633,127,139,756,383,334,347,29,15,156,148,948,255,338,288,773,918,231,787,578,662,931,194,835,758,683,790,165,556,294,378,517,481,371,344,561"
YZUKO,0.00318,5,"802,871,482,24,293"
PT4KJ,0.01543,36,"94,327,197,423,96,453,548,270,132,518,816,238,776,846,797,879,515,433,713,373,287,811,466,537,11,895,123,79,507,841,494,20,225,551,843,642"
1LWW5,0.02052,15,"540,260,856,237,833,140,907,695,173,733,447,76,54,969,554"
DABPS,0.00785,83,"988,904,157,87,836,676,859,190,831,513,439,141,588,206,131,602,472,364,212,604,772,647,709,947,559,316,63,634,350,391,341,422,727,386,987,670,692,591,714,385,534,214,38,842,91,493,691,241,798,220,579,620,464,908,949,564,298,446,508,621,569,354,562,923,71,137,103,48,881,677,565,218,678,753,601,115,545,597,587,486,307,8,487"
3BGYF,0.02127,21,"936,398,996,483,150,645,21,520,72,823,284,336,426,470,910,452,262,668,750,309,648"
LK7YF,0.00502,76,"57,939,749,814,84,401,289,574,124,688,170,1,227,136,135,13,625,869,932,492,363,304,729,188,417,793,174,322,815,306,576,113,742,435,35,767,703,259,708,514,97,321,743,984,968,542,626,851,183,909,0,250,531,60,134,899,894,273,100,342,117,405,594,490,355,374,399,418,629,560,552,86,582,598,933,943"
9V0WL,0.00127,76,"370,335,414,568,506,563,889,674,585,929,536,450,129,780,941,315,290,330,168,85,198,122,19,485,577,957,558,436,953,116,736,706,95,326,224,573,503,324,169,782,927,258,438,538,105,3,484,529,275,392,445,834,872,16,757,162,572,617,635,990,222,781,216,404,509,36,819,902,292,972,31,126,182,88,546,845"
BPDQO,0.04182,9,"532,456,760,228,495,32,477,114,580"
OF3OT,0.00482,65,"707,120,318,187,411,272,40,395,766,539,684,804,340,61,217,245,693,922,752,191,471,954,384,476,547,314,387,967,805,376,567,196,186,839,825,973,694,351,901,184,650,160,976,630,654,221,997,643,161,152,51,269,636,720,381,813,177,33,192,99,413,119,457,728,143"
QHNGH,0.03311,14,"210,412,810,268,45,596,877,406,615,924,480,80,687,111"
FO62X,0.00868,83,"658,764,233,121,460,467,396,17,361,983,979,555,960,78,876,702,778,586,528,158,527,911,903,928,807,731,550,283,202,730,653,310,234,659,699,912,431,995,215,533,367,724,905,299,263,390,66,884,25,919,49,965,368,722,893,627,800,331,7,673,844,718,870,680,372,145,46,83,739,185,685,410,652,366,108,734,855,991,353,251,917,461,985"
VRVJO,0.00344,22,"720,381,813,177,33,192,99,413,119,457,728,143,421,593,30,861,106,180,402,755,393,952"
4VHJO,0.01894,39,"276,320,409,242,247,715,41,885,201,296,795,89,837,906,349,147,775,524,789,512,682,397,866,171,211,666,584,735,754,243,408,701,632,592,213,301,468,784,583"
M8O43,0.00466,86,"107,710,73,817,681,246,526,958,914,865,982,230,975,511,223,305,633,127,139,756,383,334,347,29,15,156,148,948,255,338,288,773,918,231,787,578,662,931,194,835,758,683,790,165,556,294,378,517,481,371,344,561,838,590,806,663,142,264,700,646,944,295,128,830,747,761,603,740,525,313,570,607,900,873,265,58,499,657,705,852,325,516,193,380,235,763"
797DD,0.00593,71,"653,310,234,659,699,912,431,995,215,533,367,724,905,299,263,390,66,884,25,919,49,965,368,722,893,627,800,331,7,673,844,718,870,680,372,145,46,83,739,185,685,410,652,366,108,734,855,991,353,251,917,461,985,69,53,942,388,82,671,777,210,412,810,268,45,596,877,406,615,924,480"
L0TK2,0.00424,67,"357,424,65,379,474,278,832,959,622,925,672,858,443,726,510,146,6,419,828,765,39,605,796,848,946,788,359,599,769,867,356,437,420,22,352,759,913,109,455,302,612,614,809,112,81,748,623,55,500,279,930,26,101,249,94,327,197,423,96,453,548,270,132,518,816,238,776"
5JBYU,0.01456,36,"976,630,654,221,997,643,161,152,51,269,636,720,381,813,177,33,192,99,413,119,457,728,143,421,593,30,861,106,180,402,755,393,952,178,655,915"
G6QNW,0.03553,18,"990,222,781,216,404,509,36,819,902,292,972,31,126,182,88,546,845,102"
EH3E4,0.02947,18,"661,377,641,854,291,254,665,337,880,697,719,465,535,176,44,277,660,999"
UNPUW,0.00426,77,"515,433,713,373,287,811,466,537,11,895,123,79,507,841,494,20,225,551,843,642,27,172,256,2,432,285,610,205,329,253,104,716,425,951,938,970,333,75,501,589,229,444,608,77,312,566,628,62,164,93,200,252,4,118,434,864,746,64,785,986,557,209,498,656,389,28,343,741,981,553,430,282,138,916,308,955,317"
P0QGO,0.00479,74,"646,944,295,128,830,747,761,603,740,525,313,570,607,900,873,265,58,499,657,705,852,325,516,193,380,235,763,794,613,994,400,822,707,120,318,187,411,272,40,395,766,539,684,804,340,61,217,245,693,922,752,191,471,954,384,476,547,314,387,967,805,376,567,196,186,839,825,973,694,351,901,184,650,160"
64AVP,0.03743,15,"116,736,706,95,326,224,573,503,324,169,782,927,258,438,538"
K733T,0.00586,78,"786,890,523,896,163,56,358,144,882,149,319,860,473,868,365,721,725,667,407,669,532,456,760,228,495,32,477,114,580,821,862,416,10,70,504,107,710,73,817,681,246,526,958,914,865,982,230,975,511,223,305,633,127,139,756,383,334,347,29,15,156,148,948,255,338,288,773,918,231,787,578,662,931,194,835,758,683,790"
G8QEO,0.00515,87,"126,182,88,546,845,102,945,34,783,886,530,280,360,892,874,463,827,441,394,863,98,189,675,67,23,956,686,888,679,68,637,544,14,281,770,133,50,649,992,311,257,732,878,179,974,808,606,980,820,362,812,619,203,961,110,762,451,219,971,505,37,651,478,9,658,764,233,121,460,467,396,17,361,983,979,555,960,78,876,702,778,586,528,158,527,911,903"
R33NK,0.00213,35,"692,591,714,385,534,214,38,842,91,493,691,241,798,220,579,620,464,908,949,564,298,446,508,621,569,354,562,923,71,137,103,48,881,677,565"
HGTP2,0.00645,76,"432,285,610,205,329,253,104,716,425,951,938,970,333,75,501,589,229,444,608,77,312,566,628,62,164,93,200,252,4,118,434,864,746,64,785,986,557,209,498,656,389,28,343,741,981,553,430,282,138,916,308,955,317,521,297,993,454,429,448,236,824,609,704,345,575,689,18,934,479,502,850,600,690,125,977,937"
